	shannon
AO-Hands-Day11	1.9941570181804689
AO-Hands-Day21	4.2589163578534786
Bench-Day21	5.587201511228446
Bench11	3.944105302121793
Bucket-Water-after-dissection2	3.0908068676108575
Bucket-Water1	3.5651433141219644
Egg-Case0A	7.100825899439561
Egg-Case0B	6.672617668925945
Egg-Case0C	6.339414028000842
Egg-Case0D	5.264955487978801
Egg-Case16A	7.185030634914495
Egg-Case16B	7.057626767929162
Egg-Case16C	5.17288942848618
Egg-Case16D	6.87827477946745
Egg-Case26A	7.421673346432711
Egg-Case26B	7.553253116740314
Egg-Case26C	7.614437093677003
Egg-Case26D	6.598533011337824
Egg-Case30A	7.107433738699472
Egg-Case30B	6.992389897136199
Egg-Case30C	7.48752861644642
Egg-Case30D	7.485932671410621
Egg-Case33A	6.167397621877454
Egg-Case33B	5.724296502069718
Egg-Case33C	2.4128329167632896
Egg-Case33D	4.250444302061843
Gill26A	6.033702928182824
Gill26B	5.467459999232647
Gill26C	6.368005070472364
Gill26D	5.330215591730903
Gill30A	3.536188850894645
Gill30B	6.385783573824238
Gill30C	6.212207954862788
Gill30D	6.772796728742753
Gill33A	1.9551126226873539
Gill33B	2.3980565990741205
Gill33C	3.692464943833749
Gill33D	4.798397194043902
GillAdult1	4.66428922715172
GillAdult2	2.4343312402957156
GillAdult3	6.033362486313291
GillAdult4	6.568060602442858
Internal-Water0A	2.2840609823129587
Internal-Water0B	3.390733735758487
Internal-Water0C	5.097086873959173
Internal-Water0D	3.9962480170136687
Internal-Water16A	3.9113659567126557
Internal-Water16B	1.1225348888545343
Internal-Water26A	4.470237019353539
Internal-Water26B	6.917615808068625
Internal-Water26C	6.854113001694264
Internal-Water26D	4.795983790721294
Internal-Water30A	3.7353585185341887
Internal-Water30B	7.3768701008468405
Internal-Water30C	6.175768517231509
Internal-Water30D	7.412478724871562
Internal-Water33A	7.391817433877283
Internal-Water33B	2.6898629548409927
Internal-Water33C	6.083180003083776
Internal-Water33D	6.492758973330313
KM-Hands-Day-11	0.24993972187987035
KM-Hands-Day-21	2.8849324033762294
MRC-Water-Cold3	1.1505592937057623
MRC-Water-Cold4	3.9988471764138462
MRC-Water1	4.607174526020523
MRC-Water2	2.653473183091627
Ocean-Water1	1.4991791695442365
Ocean-Water2	1.752972463865555
Tail-Skin26A	3.4402101696317597
Tail-Skin26B	6.253356785340148
Tail-Skin26C	5.265297426509344
Tail-Skin26D	4.654911780257429
Tail-Skin30A	4.704218576137611
Tail-Skin30B	6.5069919168113595
Tail-Skin30C	2.572573278336137
Tail-Skin30D	4.992348150626941
Tail-Skin33A	6.440182939870052
Tail-Skin33B	6.543550710821681
Tail-Skin33C	5.60879199256725
Tail-Skin33D	5.3660890737422475
Tail-SkinAdult1	2.639285707682334
Tail-SkinAdult2	1.269386017771373
Tail-SkinAdult3	0.9301874977220547
Tail-SkinAdult4	1.4101124744208786
